,name,source_facility_type,capacity,infant,toddler,facility_type,city,full_address,postal_code,provider
0,"CENTRE DE LA PETITE ENFANCE ""LES P'TITS FLOTS"" INC.",CPE,47.0,Y,Y,Day Care,Amqui,"7, rue Saint-Augustin",G5J 3H7,Province of Quèbec
1,L'ENFANT RIT INC.,CPE,21.0,Y,Y,Day Care,Causapscal,"154, rue Saint-Luc",G0J 1J0,Province of Quèbec
2,"CENTRE DE LA PETITE ENFANCE ""LES CALINOURS"" INSTALLATION DÉGELIS",CPE,45.0,Y,Y,Day Care,Dégelis,"113, 7e Rue Est",G5T 1Y6,Province of Quèbec
3,CENTRE DE LA PETITE ENFANCE DES CANTONS DE RIVIÈRE DU LOUP,CPE,21.0,Y,Y,Day Care,L'Isle-Verte,"10, rue Verreault",G0L 1K0,Province of Quèbec
4,LES SERVICES DE GARDE LA FARANDOLE,CPE,42.0,Y,Y,Day Care,La Pocatière,"405, 10e Avenue",G0R 1Z0,Province of Quèbec
5,LES SERVICES DE GARDE LA FARANDOLE,CPE,44.0,Y,Y,Day Care,La Pocatière,"400, 3e Rue Fraser",G0R 1Z0,Province of Quèbec
6,PETITE ÉCOLE MONTESSORI DE LA POCATIÈRE,GARD,44.0,,,Day Care,La Pocatière,"100, 4è avenue Painchaud",G0R 1Z0,Province of Quèbec
7,GARDERIE LES MINIS EXPLORATEURS,GARD,70.0,,,Day Care,Matane,"580, rue Saint-Rédempteur",G4W 1K9,Province of Quèbec
8,LA MARMAILLE,CPE,60.0,Y,Y,Day Care,Matane,"335, rue de la Gare",G4W 3J4,Province of Quèbec
9,LES P'TITS LOUPS DE MER,CPE,68.0,Y,Y,Day Care,Matane,"210, avenue d'Amours",G4W 2X7,Province of Quèbec
10,CENTRE DE LA PETITE ENFANCE LES P'TITS MONTOIS,CPE,60.0,Y,Y,Day Care,Mont-Joli,"69, avenue de la Gare",G5H 1N9,Province of Quèbec
11,LA PAS-R-AILES,CPE,8.0,Y,Y,Day Care,Mont-Joli,"1564, boulevard Jacques-Cartier",G5H 2V8,Province of Quèbec
12,INSTALLATION DE MÉTIS-SUR-MER,CPE,21.0,Y,Y,Day Care,Métis-sur-Mer,"24, rue du Couvent",G0J 1S0,Province of Quèbec
13,"CENTRE DE LA PETITE ENFANCE ""LES TROIS COINS""",CPE,50.0,Y,Y,Day Care,Rimouski,"11, chemin Saint-Joseph",G5N 5E2,Province of Quèbec
14,CENTRE DE LA PETITE ENFANCE DU VILLAGE DU BIC,CPE,47.0,Y,Y,Day Care,Rimouski,"74, rue Sainte-Cécile du Bic",G0L 1B0,Province of Quèbec
15,CENTRE DE LA PETITE ENFANCE L'AURORE BORÉALE,CPE,40.0,Y,Y,Day Care,Rimouski,"418, rue Rouer",G5L 6J9,Province of Quèbec
16,CENTRE PRÉSCOLAIRE BILINGUE DE RIMOUSKI INC.,GARD,30.0,,,Day Care,Rimouski,"570-A, rue Saint-Germain est",G5L 1G4,Province of Quèbec
17,L'ENFANT DU FLEUVE INC.,CPE,78.0,Y,Y,Day Care,Rimouski,"61, rue Sainte-Marie",G5L 4E1,Province of Quèbec
18,L'UNIVERS DES COPAINS,CPE,78.0,Y,Y,Day Care,Rimouski,"290, allée des Ursulines",G5L 2Z9,Province of Quèbec
19,L'UNIVERS DES COPAINS 2,CPE,78.0,Y,Y,Day Care,Rimouski,"290, allée des Ursulines",G5L 2Z9,Province of Quèbec
20,L'ÉVEIL DES CHÉRUBINS,CPE,70.0,Y,Y,Day Care,Rimouski,"30, rue Saint-Laurent Ouest",G5L 8B4,Province of Quèbec
21,LA TRÂLÉE DES PRÉS,CPE,80.0,Y,Y,Day Care,Rimouski,"350, rue Arthur-Buies Est",G5M 0C6,Province of Quèbec
22,LA TRÂLÉE DU PARC,CPE,80.0,Y,Y,Day Care,Rimouski,"209, rue Tessier",G5L 8X9,Province of Quèbec
23,LES FARFADETS DE LA POINTE INC.,CPE,80.0,Y,Y,Day Care,Rimouski,"365, avenue de la Jeunesse",G5M 1J2,Province of Quèbec
24,LA RIBAMBELLE,CPE,21.0,Y,Y,Day Care,Rivière-Bleue,"33, rue des Pins Est",G0L 2B0,Province of Quèbec
25,LA CLÉ DES BOIS,CPE,70.0,Y,Y,Day Care,Rivière-du-Loup,"135, rue Frontenac",G5R 6E3,Province of Quèbec
26,LA LICORNE,CPE,34.0,Y,Y,Day Care,Rivière-du-Loup,"61, rue Alexandre",G5R 2W4,Province of Quèbec
27,LA PASSERELLE DES P'TITS MOUSSES,CPE,44.0,Y,Y,Day Care,Rivière-du-Loup,"121, rue Thomas-Jones",G5R 0J5,Province of Quèbec
28,LA RELÈVE DES MOUSSES,CPE,42.0,Y,Y,Day Care,Rivière-du-Loup,"9, avenue Premier",G5R 6C1,Province of Quèbec
29,LE JARDIN,CPE,12.0,Y,Y,Day Care,Rivière-du-Loup,"80, rue Frontenac",G5R 1R1,Province of Quèbec
30,MI-LOUP,CPE,74.0,Y,Y,Day Care,Rivière-du-Loup,"57, rue Beaubien",G5R 1H6,Province of Quèbec
31,QUENOUILLE ET GRENOUILLE,CPE,44.0,Y,Y,Day Care,Rivière-du-Loup,"119, rue Thomas-Jones",G5R 0J5,Province of Quèbec
32,ÉCOLE MONTESSORI DE RIVIÈRE-DU-LOUP,GARD,30.0,,,Day Care,Rivière-du-Loup,"27, rue de Lévis",G5R 2R2,Province of Quèbec
33,CENTRE DE LA PETITE ENFANCE PITATOU,CPE,39.0,Y,Y,Day Care,Saint-Alexandre-de-Kamouraska,"499, rue des Mélèzes",G0L 2G0,Province of Quèbec
34,CENTRE DE LA PETITE ENFANCE LES PETITS SOLEILS MAGIQUES,CPE,62.0,Y,Y,Day Care,Saint-Anaclet-de-Lessard,"147, rue Lavoie",G0K 1H0,Province of Quèbec
35,LA VILLA D'ANTONIN,CPE,80.0,Y,Y,Day Care,Saint-Antonin,"218, rue Principale",G0L 2J0,Province of Quèbec
36,LA ROSE DES VENTS,CPE,21.0,Y,Y,Day Care,Saint-Cyprien,"99, rue Claude",G0L 2P0,Province of Quèbec
37,GARDERIE LES PETITS BOURDONS,GARD,21.0,Y,Y,Day Care,Saint-Denis-De La Bouteillerie,"5, route 132 Est",G0L 2R0,Province of Quèbec
38,INSTALLATION DE SAINT-DONAT,CPE,16.0,Y,Y,Day Care,Saint-Donat,"102, rue des Loisirs",G0K 1L0,Province of Quèbec
39,GARDERIE DES TROIS POMMIERS,GARD,29.0,,,Day Care,Saint-Fabien,"12, 13e Avenue",G0L 2Z0,Province of Quèbec
40,SERVICES DE GARDE L'ENFANT JOUE,CPE,21.0,Y,Y,Day Care,Saint-Moïse,"55, rue Principale",G0J 2Z0,Province of Quèbec
41,CENTRE DE LA PETITE ENFANCE PITATOU,CPE,57.0,Y,Y,Day Care,Saint-Pascal,"555, rue Hudon C.P. 3",G0L 3Y0,Province of Quèbec
42,DES P'TITS SOURIRES,CPE,8.0,Y,Y,Day Care,Saint-Épiphane,"280, rue Sirois",G0L 2X0,Province of Quèbec
43,CENTRE DE LA PETITE ENFANCE LES PINSONS INC.,CPE,31.0,Y,Y,Day Care,Sainte-Luce-Luceville,"20, rue des Coquillages",G0K 1P0,Province of Quèbec
44,INSTALLATION SAYABEC,CPE,31.0,Y,Y,Day Care,Sayabec,"6C, rue Keable",G0J 3K0,Province of Quèbec
45,CENTRE DE LA PETITE ENFANCE LA BALEINE BRICOLEUSE,CPE,41.0,Y,Y,Day Care,Trois-Pistoles,"566, rue Jean-Rioux",G0L 4K0,Province of Quèbec
46,"CENTRE DE LA PETITE ENFANCE ""LES CALINOURS""",CPE,50.0,Y,Y,Day Care,Témiscouata-sur-le-Lac,"795, rue Commerciale Nord",G0L 1E0,Province of Quèbec
47,"CENTRE DE LA PETITE ENFANCE ""LES CALINOURS"" - INSTALLATION NOTRE-DAME",CPE,42.0,Y,Y,Day Care,Témiscouata-sur-le-Lac,"684, rue Bélanger",G0L 1X0,Province of Quèbec
48,LES SERVICES DE GARDE LA FARANDOLE,MF,,Y,Y,Home,La Pocatière,"400, 3e Rue Fraser",G0R 1Z0,Province of Quèbec
49,LE CENTRE DE LA PETITE ENFANCE DE MATANE,MF,,Y,Y,Home,Matane,"210, avenue d'Amours",G4W 2X7,Province of Quèbec
50,CENTRE DE LA PETITE ENFANCE L'AURORE BORÉALE,MF,,Y,Y,Home,Rimouski,"418, rue Rouer",G5L 6J9,Province of Quèbec
51,CENTRE DE LA PETITE ENFANCE DE RIVIÈRE-DU-LOUP INC.,MF,,Y,Y,Home,Rivière-du-Loup,"57, rue Beaubien",G5R 1H6,Province of Quèbec
52,SERVICES DE GARDE L'ENFANT JOUE,MF,,Y,Y,Home,Saint-Moïse,"55, rue Principale",G0J 2Z0,Province of Quèbec
53,CENTRE DE LA PETITE ENFANCE LES PINSONS INC.,MF,,Y,Y,Home,Sainte-Luce-Luceville,"20, rue des Coquillages",G0K 1P0,Province of Quèbec
54,CENTRE DE LA PETITE ENFANCE LA BALEINE BRICOLEUSE,MF,,Y,Y,Home,Trois-Pistoles,"566, rue Jean Rioux",G0L 4K0,Province of Quèbec
55,"CENTRE DE LA PETITE ENFANCE ""LES CALINOURS""",MF,,Y,Y,Home,Témiscouata-sur-le-Lac,"795, rue Commerciale Nord",G0L 1E0,Province of Quèbec
56,AU PAYS DES BOTTINES,CPE,39.0,Y,Y,Day Care,Alma,"501, rue Laliberté Est",G8C 1N1,Province of Quèbec
57,CENTRE DE LA PETITE ENFANCE LA BAMBINERIE,CPE,62.0,Y,Y,Day Care,Alma,"200, avenue Mcnaughton",G8B 5S5,Province of Quèbec
58,CENTRE DE LA PETITE ENFANCE LA BAMBINERIE,CPE,36.0,Y,Y,Day Care,Alma,"1065, rue Price Ouest",G8B 0G1,Province of Quèbec
59,CENTRE DE LA PETITE ENFANCE LES PICASSOS DE L'ÎLE,CPE,70.0,Y,Y,Day Care,Alma,"121, rue Mistouk",G8E 2J1,Province of Quèbec
60,CENTRE DE LA PETITE ENFANCE PLEIN SOLEIL,CPE,80.0,Y,Y,Day Care,Alma,"200, rue Price Ouest",G8B 4S4,Province of Quèbec
61,CPE L'ENFANTHÈQUE,CPE,68.0,Y,Y,Day Care,Alma,"200, rue Alarie Est",G8B 7G1,Province of Quèbec
62,GARDERIE LES ÉTOILES DU LAC,GARD,73.0,,,Day Care,Alma,"322, rue Archambeault",G8B 0L4,Province of Quèbec
63,LA GARDERIE URBAINE INC.,GARD,55.0,,,Day Care,Alma,"65, rue St-Joseph",G8B 6V4,Province of Quèbec
64,ÉCOLE MONTESSORI DU LAC-ST-JEAN,GARD,24.0,,,Day Care,Alma,"625, rue de la Gare Ouest",G8B 4L4,Province of Quèbec
65,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX INSTALLATION BÉGIN,CPE,13.0,Y,Y,Day Care,Bégin,"130A, rue Brassard",G0V 1B0,Province of Quèbec
66,"CENTRE DE LA PETITE ENFANCE ""AUX PETITS TRESORS""",CPE,73.0,Y,Y,Day Care,Chambord,"139, rue de la Plaine",G0W 1G0,Province of Quèbec
67,A chacun son histoire - Chicoutimi ! inc.,GARD,78.0,,,Day Care,Chicoutimi,"765, rue d'Alma",G7H 4E7,Province of Quèbec
68,ACADÉMIE DES MINI-AMOURS,GARD,57.0,,,Day Care,Chicoutimi,"1411, chemin de la Réserve",G7J 0C5,Province of Quèbec
69,"CENTRE DE LA PETITE ENFANCE ""LES TROTTINEURS"" INC.",CPE,80.0,Y,Y,Day Care,Chicoutimi,"717, rue Jacques-Cartier Est",G7H 6A3,Province of Quèbec
70,CENTRE DE LA PETITE ENFANCE AUX PETITES JOIES INC.,CPE,62.0,Y,Y,Day Care,Chicoutimi,"290, rue du Séminaire",G7H 4J3,Province of Quèbec
71,CENTRE DE LA PETITE ENFANCE LA CACHE-CACHE,CPE,80.0,Y,Y,Day Care,Chicoutimi,"250, rue Colbert",G7G 1L7,Province of Quèbec
72,CENTRE DE LA PETITE ENFANCE LA CAJOLERIE,CPE,47.0,Y,Y,Day Care,Chicoutimi,"1165, rue des Carcajous",G7J 0A9,Province of Quèbec
73,CENTRE DE LA PETITE ENFANCE LE JARDIN DE LA RIVIERE INC.,CPE,80.0,Y,Y,Day Care,Chicoutimi,"75, rue Smith Ouest",G7J 1C9,Province of Quèbec
74,CENTRE DE LA PETITE ENFANCE LES DÉGOURDIS,CPE,68.0,Y,Y,Day Care,Chicoutimi,"774, rue des Saguenéens",G7H 8E5,Province of Quèbec
75,CENTRE DE LA PETITE ENFANCE LES MINIMOUSSES,CPE,80.0,Y,Y,Day Care,Chicoutimi,"789, rue des Étudiants",G7H 6M3,Province of Quèbec
76,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX INSTALLATION CHICOUTIMI,CPE,75.0,Y,Y,Day Care,Chicoutimi,"210, rue Mézy",G7G 1J5,Province of Quèbec
77,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX INSTALLATION MILIEU ÉTUDIANT,CPE,21.0,Y,Y,Day Care,Chicoutimi,"847, rue Georges-Vanier",G7H 4M1,Province of Quèbec
78,CENTRE DE LA PETITE ENFANCE MIKUENISS,CPE,45.0,Y,Y,Day Care,Chicoutimi,"491, rue Jacques-Cartier Est",G7H 1Z9,Province of Quèbec
79,CPE AU PAYS DES LUTINS,CPE,73.0,Y,Y,Day Care,Chicoutimi,"100, rue Don-Bosco",G7H 2Z7,Province of Quèbec
80,CPE LA GRANGE AUX LUTINS,CPE,29.0,Y,Y,Day Care,Chicoutimi,"1480, rang Saint-Martin",G7H 7J5,Province of Quèbec
81,GARDERIE BÉBÉLOUGAS,GARD,29.0,Y,Y,Day Care,Chicoutimi,"101, rue Beaupré",G7G 4E5,Province of Quèbec
82,GARDERIE LES MINIS AMOURS INC.,GARD,49.0,Y,Y,Day Care,Chicoutimi,"1340, chemin de la Réserve",G7J 3P7,Province of Quèbec
83,GARDERIE LES PETITES BRICOLES,GARD,31.0,Y,Y,Day Care,Chicoutimi,"460, rue Legrand",G7J 3L6,Province of Quèbec
84,GARDERIE LES ÉTOILES DU PARC,GARD,80.0,,,Day Care,Chicoutimi,"129, rue Cossette",G7J 0G6,Province of Quèbec
85,GARDERIE NATURE,GARD,78.0,,,Day Care,Chicoutimi,"281, rue Pinel",G7G 3N7,Province of Quèbec
86,LA PETITE ÉCOLE VISION SAGUENAY,GARD,80.0,,,Day Care,Chicoutimi,"930, rue Jacques-Cartier Est C.P. 30",G7H 7K9,Province of Quèbec
87,LA PRÉ-MATERNELLE DES MINIS AMOURS,GARD,15.0,,,Day Care,Chicoutimi,"1340, chemin de la Réserve",G7J 3P7,Province of Quèbec
88,UNIVERS DES MINI-MAGICIENS,GARD,12.0,,,Day Care,Chicoutimi,"555, boulevard de l'Université",G7H 2B1,Province of Quèbec
89,ÉCOLE MONTESSORI DU SAGUENAY INC.,GARD,36.0,,,Day Care,Chicoutimi,"700, rue Racine Est",G7H 1V2,Province of Quèbec
90,CENTRE DE LA PETITE ENFANCE CROQUE-LUNE,CPE,60.0,Y,Y,Day Care,Dolbeau-Mistassini,"175, avenue de la Fabrique",G8L 6A9,Province of Quèbec
91,CENTRE DE LA PETITE ENFANCE LES RENARDEAUX,CPE,52.0,Y,Y,Day Care,Dolbeau-Mistassini,"124, avenue des Chutes",G8L 3X7,Province of Quèbec
92,GARDERIE LES PETITS BOUTS DE CHOUX,GARD,80.0,Y,Y,Day Care,Dolbeau-Mistassini,"194, avenue Jean-Dolbeau",G8L 3J6,Province of Quèbec
93,GARDERIE LA PETITE FABRIQUE INC.,GARD,34.0,,,Day Care,Girardville,"165, rue Principale",G0W 1R0,Province of Quèbec
94,CENTRE DE LA PETITE ENFANCE AM STRAM GRAM 2000,CPE,21.0,Y,Y,Day Care,Hébertville,"415, rue Turgeon",G8N 1T1,Province of Quèbec
95,"CENTRE DE LA PETITE ENFANCE ""LE JARDIN ENSANTÉ""",CPE,80.0,Y,Y,Day Care,Jonquière,"3641, rue Saint-Bernard",G7X 2T3,Province of Quèbec
96,CENTRE DE LA PETITE ENFANCE DE LA SAGAMIE,CPE,80.0,Y,Y,Day Care,Jonquière,"3740, rue Panet",G7X 3W1,Province of Quèbec
97,CENTRE DE LA PETITE ENFANCE GARI-GATOU INC.,CPE,78.0,Y,Y,Day Care,Jonquière,"2126, rue Burma",G7S 2X6,Province of Quèbec
98,CENTRE DE LA PETITE ENFANCE LA PIROUETTE,CPE,80.0,Y,Y,Day Care,Jonquière,"3200, rue Sainte-Émilie",G7S 5Y2,Province of Quèbec
99,CENTRE DE LA PETITE ENFANCE LA SOURIS VERTE,CPE,70.0,Y,Y,Day Care,Jonquière,"3240, rue du Roi-Georges",G7S 5M9,Province of Quèbec
100,CENTRE DE LA PETITE ENFANCE LA SOURIS VERTE CENTRE MULTISERVICES ST-JEAN-EUDES,CPE,21.0,Y,Y,Day Care,Jonquière,"2182, rue Bonneau",G7S 4B2,Province of Quèbec
101,CENTRE DE LA PETITE ENFANCE LA SOURIS VERTE- INSTALLATION ST-LAURENT,CPE,21.0,Y,Y,Day Care,Jonquière,"2122, rue du Père-Lalemant",G7X 6H3,Province of Quèbec
102,CENTRE DE LA PETITE ENFANCE LES PETITS POUSSINS,CPE,80.0,Y,Y,Day Care,Jonquière,"2120, rue Gilbert",G7S 3N6,Province of Quèbec
103,CENTRE DE LA PETITE ENFANCE VERT L'AVENTURE,CPE,16.0,Y,Y,Day Care,Jonquière,"3842, boulevard Harvey",G7X 2Z4,Province of Quèbec
104,EXPLORATOUT INC.,GARD,54.0,,,Day Care,Jonquière,"2540, rue Taillon",G7T 0B4,Province of Quèbec
105,GARDERIE JE T'AIME,GARD,37.0,Y,Y,Day Care,Jonquière,"2121, rue Pasteur",G7X 4G7,Province of Quèbec
106,GARDERIE LES P'TITES OREILLES,GARD,80.0,,,Day Care,Jonquière,"3714, boulevard Harvey",G7X 3A5,Province of Quèbec
107,GARDERIE LES PETITS MOOSES INC.,GARD,21.0,,,Day Care,Jonquière,"4210, boulevard du Royaume",G7Z 0A2,Province of Quèbec
108,GARDERIE LEURS PREMIERS PAS 2014 INC.,GARD,71.0,,,Day Care,Jonquière,"3843, rue Colbert",G7X 0E6,Province of Quèbec
109,GARDERIE LEURS PREMIERS PAS 2014 INC. (2 ÈME INSTALLATION),GARD,50.0,,,Day Care,Jonquière,"3878, rue Saint-Jean",G7X 0N8,Province of Quèbec
110,L'UNIVERS DES POUPONS,GARD,75.0,Y,Y,Day Care,Jonquière,"2170, rue des Étudiants",G7X 9E1,Province of Quèbec
111,LE MONDE DES ENFANTS,GARD,80.0,Y,Y,Day Care,Jonquière,"4142, rue Marc-Aurèle",G7Z 1N3,Province of Quèbec
112,LE PETIT MONDE DES ARTS ET DES SPORTS,GARD,67.0,,,Day Care,Jonquière,"2420, rue des Marronniers",G7Z 1A9,Province of Quèbec
113,MINI-EXPLORATOUT INC.,GARD,41.0,,,Day Care,Jonquière,"2234, rue Poitras",G7S 3S1,Province of Quèbec
114,ROYAUME DES ENFANTS,GARD,80.0,Y,Y,Day Care,Jonquière,"4010, rue des Mouettes",G7X 0M5,Province of Quèbec
115,CENTRE DE LA PETITE ENFANCE MINI-MONDE INSTALLATION DE L'ANSE-ST-JEAN,CPE,16.0,Y,Y,Day Care,L'Anse-Saint-Jean,"157A, Route 170",G0V 1J0,Province of Quèbec
116,CENTRE DE LA PETITE ENFANCE ALOUETTE,CPE,80.0,Y,Y,Day Care,La Baie,"1775, rue Lucien-Lecompte",G0V 1A0,Province of Quèbec
117,CENTRE DE LA PETITE ENFANCE LE TOURNESOL DU FJORD,CPE,54.0,Y,Y,Day Care,La Baie,"1001, rue du Docteur-Desgagné",G7B 2Y7,Province of Quèbec
118,CENTRE DE LA PETITE ENFANCE MINI-MONDE,CPE,60.0,Y,Y,Day Care,La Baie,"701, 5e Rue",G7B 1Y7,Province of Quèbec
119,GARDERIE L'UNIVERS DES TOUT P'TITS INC.,GARD,80.0,,,Day Care,La Baie,"781, rue de Victoria",G7B 3M8,Province of Quèbec
120,LE JARDIN D'AMIS À LAROUCHE,CPE,29.0,Y,Y,Day Care,Larouche,"651, rue Gagné",G0W 1Z0,Province of Quèbec
121,GARDERIE LE JARDIN DES ÉTOILES,GARD,31.0,,,Day Care,Laterrière,"917, rue du Boulevard",G7N 1J1,Province of Quèbec
122,"LE CENTRE DE LA PETITE ENFANCE ""LA PLANÈTE À MARS""",CPE,66.0,Y,Y,Day Care,Laterrière,"1530, rue du Vieux-Pont Sud",G7N 2B1,Province of Quèbec
123,LE CENTRE DE LA PETITE ENFANCE AUETISSATSH,CPE,66.0,Y,Y,Day Care,Mashteuiatsh,"50, rue Auetissatsh",G0W 2H0,Province of Quèbec
124,CENTRE DE LA PETITE ENFANCE AM STRAM GRAM 2000 INSTALLATION MÉTABETCHOUAN-LAC-À-LA-CROIX,CPE,76.0,Y,Y,Day Care,Métabetchouan-Lac-à-la-Croix,"19, rue des Pivoines",G8G 1K9,Province of Quèbec
125,CENTRE DE LA PETITE ENFANCE CROQUE LA VIE,CPE,52.0,Y,Y,Day Care,Normandin,"1153, avenue des Écoles",G8M 3Z5,Province of Quèbec
126,GLOBULE ET MYRTILLE,GARD,48.0,,,Day Care,Normandin,"1455, Avenue du Rocher, local 126",G8M 3X5,Province of Quèbec
127,"LE CENTRE DE LA PETITE ENFANCE ""LA PLANÈTE À MARS"" DU PETIT SAGUENAY",CPE,8.0,Y,Y,Day Care,Petit-Saguenay,"31, rue du Pré",G0V 1N0,Province of Quèbec
128,CENTRE DE LA PETITE ENFANCE LES RENARDEAUX,CPE,13.0,Y,Y,Day Care,Péribonka,"202, 1re Avenue",G0W 2G0,Province of Quèbec
129,CENTRE DE LA PETITE ENFANCE LES AMIS DE LA CULBUTE,CPE,70.0,Y,Y,Day Care,Roberval,"100, rue Jules-Constantin",G8H 3N8,Province of Quèbec
130,CENTRE DE LA PETITE ENFANCE LES AMIS DE LA CULBUTE INSTALLATION MILIEU DE TRAVAIL,CPE,29.0,Y,Y,Day Care,Roberval,"416, rue Brassard",G8H 1B9,Province of Quèbec
131,LE JARDIN DE ROBI INC.,CPE,80.0,Y,Y,Day Care,Roberval,"870, rue Saint-Jean",G8H 2H1,Province of Quèbec
132,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX INSTALLATION ST-AMBROISE,CPE,52.0,Y,Y,Day Care,Saint-Ambroise,"380, rue Gagnon",G7P 2R1,Province of Quèbec
133,LE JARDIN D'AMIS À ST-BRUNO,CPE,80.0,Y,Y,Day Care,Saint-Bruno,"150, rue de la Garderie",G0W 2L0,Province of Quèbec
134,PRÉMATERNELLE EXPLORATOUT INC.,GARD,62.0,,,Day Care,Saint-Bruno,"102, rue des Moissons",G0W 2L0,Province of Quèbec
135,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX INSTALLATION FALARDEAU,CPE,21.0,Y,Y,Day Care,Saint-David-de-Falardeau,"161, boulevard Saint-David",G0V 1C0,Province of Quèbec
136,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX INSTALLATION ST-FULGENCE,CPE,29.0,Y,Y,Day Care,Saint-Fulgence,"75, chemin du Cap des Roches",G0V 1S0,Province of Quèbec
137,CENTRE DE LA PETITE ENFANCE TROTTE-MENU INC.,CPE,78.0,Y,Y,Day Care,Saint-Félicien,"1349, rue Bellevue Nord",G8K 1J2,Province of Quèbec
138,CENTRE DE LA PETITE ENFANCE TROTTE-MENU INC.,CPE,63.0,Y,Y,Day Care,Saint-Félicien,"1201, boulevard Julien",G8K 2B5,Province of Quèbec
139,CENTRE DE LA PETITE ENFANCE LE TOURNESOL DU FJORD - INSTALLATION ST-FÉLIX,CPE,8.0,Y,Y,Day Care,Saint-Félix-d'Otis,"102, chemin du Lac Brébeuf",G0V 1M0,Province of Quèbec
140,CENTRE DE LA PETITE ENFANCE LA CAJOLERIE,CPE,55.0,Y,Y,Day Care,Saint-Honoré,"580, rue Laprise",G0V 1L0,Province of Quèbec
141,CENTRE DE LA PETITE ENFANCE LES SOURICEAUX,CPE,47.0,Y,Y,Day Care,Saint-Prime,"155, rue Saint-Hilaire",G8J 2A8,Province of Quèbec
142,CENTRE DE LA PETITE ENFANCE LA PIROUETTE,CPE,8.0,Y,Y,Day Care,Sainte-Rose-du-Nord,"186, rue du Quai",G0V 1T0,Province of Quèbec
143,GARDERIE BOUM BOUM,GARD,62.0,Y,Y,Day Care,Shipshaw,"4527, rue Lavoie",G7P 1G3,Province of Quèbec
144,CENTRE DE LA PETITE ENFANCE LA GOÉLETTE ENCHANTÉE INC.,CPE,78.0,Y,Y,Day Care,Baie-Saint-Paul,"66, rue Racine",G3Z 2R1,Province of Quèbec
145,LA GARDERIE DU COIN,GARD,39.0,,,Day Care,Baie-Saint-Paul,"151, Alfred-Morin",G3Z 0K2,Province of Quèbec
146,LA GARDERIE DU COIN 2,GARD,31.0,,,Day Care,Baie-Saint-Paul,"165, rue Alfred-Morin",G3Z 0K2,Province of Quèbec
147,CENTRE DE LA PETITE ENFANCE LA PELUCHE,CPE,80.0,Y,Y,Day Care,Beaupré,"10900, rue des Montagnards",G0A 1E0,Province of Quèbec
148,CENTRE DE LA PETITE ENFANCE L'ENCHANTÉ,CPE,49.0,Y,Y,Day Care,Boischatel,"11, rue Montmorency",G0A 1H0,Province of Quèbec
149,GARDERIE LA BOUGEOTTE DE BOISCHATEL,GARD,64.0,,,Day Care,Boischatel,"6, rue Charleville",G0A 1H0,Province of Quèbec
150,GARDERIE LES BOISCHATOUILLES 2 INC.,GARD,73.0,Y,Y,Day Care,Boischatel,"5357, rue Dugal",G0A 1H0,Province of Quèbec
151,GARDERIE LES BOISCHATOUILLES INC.,GARD,67.0,Y,Y,Day Care,Boischatel,"5609, rue Dugal",G0A 1H0,Province of Quèbec
152,CPE AU BOISÉ DES ABEILLES,CPE,62.0,Y,Y,Day Care,Cap-Santé,"30, rue Déry",G0A 1L0,Province of Quèbec
153,CENTRE DE LA PETITE ENFANCE PIGNONS SUR RUE,CPE,39.0,Y,Y,Day Care,Clermont,"5, rue Jean-Talon",G4A 1A4,Province of Quèbec
154,CENTRE DE LA PETITE ENFANCE AU JARDIN DES ABEILLES (C.P.E.),CPE,54.0,Y,Y,Day Care,Donnacona,"570, boulevard Gaudreau",G3M 1L7,Province of Quèbec
155,GARDERIE LES DOUDLIPOUX INC.,GARD,73.0,,,Day Care,Donnacona,"197, route 138",G3M 1B9,Province of Quèbec
156,GARDERIE LA BOTTINE ENCHANTÉE,GARD,72.0,Y,Y,Day Care,L'Ancienne-Lorette,"1185, rue Saint-Paul",G2E 1Y8,Province of Quèbec
157,GARDERIE PETITE ÉCOLE NOTRE-DAME,GARD,80.0,,,Day Care,L'Ancienne-Lorette,"1624, rue Notre-Dame",G2E 3B5,Province of Quèbec
158,INSTALLATION AU CARROUSEL ENFANTIN,CPE,57.0,Y,Y,Day Care,L'Ancienne-Lorette,"2015, rue St-Jean Baptiste",G2E 1R6,Province of Quèbec
159,INSTALLATION AU PETIT POUCET,CPE,32.0,Y,Y,Day Care,L'Ancienne-Lorette,"1380, rue des Pins Ouest",G2E 1G8,Province of Quèbec
160,INSTALLATION DES BELLES-RIVIÈRES,CPE,53.0,Y,Y,Day Care,L'Ancienne-Lorette,"1295, rue des Loisirs Est",G2E 0A1,Province of Quèbec
161,LES BAMBINS DE LA PETITE ÉCOLE NOTRE-DAME,GARD,20.0,,,Day Care,L'Ancienne-Lorette,"1626, rue Notre-Dame",G2E 3B5,Province of Quèbec
162,SERVICE DE GARDE MYLAINE INC.,GARD,66.0,Y,Y,Day Care,L'Ancienne-Lorette,"1931, rue des Granges",G2E 4L2,Province of Quèbec
